Enum Value	Module Name	Max String Length	Description	English	Tr_Chinese	Si_Chinese	Thai	Spanish	French	German	Russian	Italian	Arabic   	Portuguese	Turkish	Vietnamese	Indonesian	Malaysian	Hindi	Danish	Czech	Polish	Hungarian	Finnish	Norwegian	Slovak	Dutch	Swedish	Croatian	Romanian	Slovenian	Greek	Hebrew	Bulgarian	Marathi	Persian	Urdu	Tamil	Bengali	Punjabi	Telugu	Ukrainian
BRA_STR_ID_SELECT_GSM_CSD	Undefined	26	No Translation					V	V	V	V	V			V	V	V			V	V	V	V	V	V	V	V	V	V	V	V	V	V	V		V						
BRA_STR_ID_SWITCH_GSM_CSD	Undefined	40	No Translation					V	V	V	V	V			V	V	V			V	V	V	V	V	V	V	V	V	V	V	V	V	V	V		V						
BRA_STR_ID_SWITCH_GSM_GPRS_LOAD	Undefined	30	No Translation					V	V	V	V	V		V	V	V	V	V		V	V	V	V	V	V	V	V	V	V	V	V	V	V	V								
BRA_STR_ID_SWITCH_GSM_GPRS_IDLE	Undefined	29	No Translation					V	V	V	V	V			V	V	V			V	V	V	V	V	V	V	V	V	V	V	V	V	V	V		V						
BRA_STR_ID_SAVED	Undefined	4	No Translation							V		V		V	V		V		V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V	V		V	V	V	V	V	V
BRA_STR_ID_OFFLINE_PAGE_NOTFOUND	Undefined	22	No Translation					V	V	V	V	V			V	V	V			V	V	V	V	V	V	V	V	V	V	V	V	V	V	V		V						
BRA_STR_ID_INVALID_PROV	Undefined	23	No Translation					V	V	V	V	V			V	V	V			V	V	V	V	V	V	V	V	V	V	V	V	V	V	V								
BRA_STR_ID_UNSUPPORT_PROV	Undefined	27	No Translation					V	V	V	V	V			V	V	V			V	V	V	V	V	V	V	V	V	V	V	V	V	V	V								
BRA_STR_ID_INVALID_DRM_RO_FORMAT	Undefined	14	No Translation					V	V	V	V	V		V	V	V	V			V	V	V	V	V	V	V	V	V	V	V	V	V	V	V								
BRA_STR_ID_DRM_RO_EXISTS	Undefined	13	No Translation					V	V	V	V	V			V	V	V			V	V	V	V	V	V	V	V	V	V	V	V	V	V	V								
BRA_STR_ID_MSG_DELETED	Undefined	24	No Translation					V	V	V	V	V			V	V	V			V	V	V	V	V	V	V	V	V	V	V	V	V	V	V								
BRA_STR_ID_MSG_REPLACED	Undefined	25	No Translation					V	V	V	V	V			V	V	V			V	V	V	V	V	V	V	V	V	V	V	V	V	V	V								
BRA_STR_ID_PRS_BOOKMARK_INSTAL	Undefined	17	No Translation					V	V	V	V	V			V	V	V			V	V	V	V	V	V	V	V	V	V	V	V	V	V	V								
